01:59:26:333 [ALWAYS]	GUDE Logging Started
01:59:26:333 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:59:26:334 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:59:26:334 [ERROR]	Initialize resume cache pointer failure
01:59:26:334 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:59:26:334 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:59:28:459 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:59:28:459 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:59:28:459 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:59:28:459 [ERROR]	Initialize resume cache pointer failure
01:59:28:459 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:59:28:459 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
